CodeInternational	Code	Name	CountryN3Code
SI-8332	8332	Gradac	705
SI-8333	8333	Semič	705
SI-8340	8340	Črnomelj	705
SI-8341	8341	Adlešiči	705
SI-8342	8342	Stari trg ob Kolpi	705
SI-8343	8343	Dragatuš	705
SI-8344	8344	Vinica	705
SI-8350	8350	Dolenjske Toplice	705
SI-8351	8351	Straža	705
SI-8360	8360	Žužemberk	705
SI-8361	8361	Dvor	705
SI-8362	8362	Hinje	705
SI-8501	8501	Krka	705
SI-8600	8600	Pošta Slovenije, PE Novo mesto	705
SI-9000	9000	Murska Sobota 	705
SI-9001	9001	Murska Sobota - P.P.	705
SI-9201	9201	Puconci	705
SI-9202	9202	Mačkovci	705
SI-9203	9203	Petrovci	705
SI-9204	9204	Šalovci	705
SI-9205	9205	Hodoš/Hodos	705
SI-9206	9206	Križevci	705
SI-9207	9207	Prosenjakovci/Partosfalva	705
SI-9208	9208	Fokovci	705
SI-9220	9220	Lendava/Lendva	705
SI-9221	9221	Martjanci	705
SI-9222	9222	Bogojina	705
SI-9223	9223	Dobrovnik/Dobronak	705
SI-9224	9224	Turnišče	705
SI-9225	9225	Velika Polana 	705
SI-9226	9226	Moravske Toplice	705
SI-9227	9227	Kobilje	705
SI-9231	9231	Beltinci	705
SI-9232	9232	Črenšovci	705
SI-9233	9233	Odranci	705
SI-9240	9240	Ljutomer	705
SI-9241	9241	Veržej	705
SI-9242	9242	Križevci pri Ljutomeru	705
SI-9243	9243	Mala Nedelja	705
SI-9244	9244	Sveti Jurij ob Ščavnici	705
SI-9245	9245	Spodnji Ivanjci	705
SI-9250	9250	Gornja Radgona	705
SI-9251	9251	Tišina	705
SI-9252	9252	Radenci	705
SI-9253	9253	Apače	705
SI-9261	9261	Cankova	705
SI-9262	9262	Rogašovci	705
SI-9263	9263	Kuzma	705
SI-9264	9264	Grad	705
SI-9265	9265	Bodonci	705
SI-9501	9501	Mura	705
SI-9502	9502	Radenska d.d.	705
SI-9600	9600	Pošta Slovenije, PE Murska Sobota	705
